Date,VOO US EQUITY,VOOG US EQUITY,VOOV US EQUITY,VO US EQUITY,VOT US EQUITY,VOE US EQUITY,VTWO US EQUITY,VTWG US EQUITY,VTWV US EQUITY,GLD US EQUITY,SLV US EQUITY,CPER US EQUITY,DBO US EQUITY,UNG US EQUITY,VNQ US EQUITY,SHYG US EQUITY,SPSB US EQUITY,SHY US EQUITY,JNK US EQUITY,SPIB US EQUITY,IEI US EQUITY,ANGL US EQUITY,SPIB US EQUITY,TLH US EQUITY,TLT US EQUITY,VGK US EQUITY,VWO US EQUITY,MCHI US EQUITY,EWY US EQUITY,EWJ US EQUITY,SH US EQUITY,PSQ US EQUITY,BSV US EQUITY,RWM US EQUITY,DOG US EQUITY,EUM US EQUITY,VOX US EQUITY,VCR US EQUITY,VDC US EQUITY,VDE US EQUITY,VFH US EQUITY,VHT US EQUITY,VIS US EQUITY,VGT US EQUITY,VAW US EQUITY,VNQ US EQUITY,VPU US EQUITY
2013-07-30,130.8258,71.0062,62.6158,87.7257,77.1892,59.847,37.1067,81.6402,67.3938,128.12,19.03,20.8556,26.2876,72.96,49.7532,,26.164,77.9094,73.6486,26.839,107.1924,16.6476,26.839,103.7243,87.1716,39.198,31.1879,37.0114,48.0251,38.9194,54.6475,83.8671,69.3216,74.8732,110.7375,28.3502,66.3243,84.7348,85.2365,88.5133,35.0429,81.9489,74.3155,70.373,77.1175,49.7532,65.0307
2013-07-31,130.8597,70.9436,62.7746,88.0144,77.4232,59.9793,37.1649,82.315,67.6241,127.96,19.14,21.3352,26.4135,72.84,48.9415,,26.1811,77.9094,73.8871,26.7437,107.2012,16.6959,26.7437,103.9153,87.4884,39.4417,31.0053,36.8642,47.8024,38.9021,54.6475,83.7892,69.3734,74.7563,110.7765,28.4871,65.9157,85.1783,85.2285,88.7533,35.0012,82.0813,74.5738,70.2739,76.941,48.9415,64.6645
2013-08-01,132.4524,71.6687,63.4935,89.5721,78.949,61.0294,37.7467,83.4786,67.9888,126.61,18.97,21.72,26.6265,71.68,48.7509,,26.1803,77.8802,73.3839,26.669,106.7371,16.8514,26.669,102.5999,85.8027,39.83,31.5769,37.7303,48.3247,39.9591,53.9865,82.933,69.2655,73.7429,109.9568,27.959,66.3083,86.5443,86.0198,89.8936,35.5186,82.6816,75.891,71.1027,77.6724,48.7509,65.2673
2013-08-02,132.6558,71.7761,63.4378,89.6071,79.0052,61.0294,37.7109,83.535,67.9652,126.36,19.12,21.832,26.6459,70.88,48.511,,26.2144,77.9356,73.7894,26.7805,107.3046,17.2873,26.7805,103.5651,86.7473,40.0203,31.5927,37.817,48.4189,40.5829,53.8893,82.3493,69.4211,73.6259,109.8007,27.9492,66.3003,86.9966,86.0758,89.436,35.4853,82.6992,76.0115,71.481,77.8742,48.511,65.192
2013-08-05,132.571,71.8198,63.3232,89.537,78.9865,60.9467,37.8318,83.8292,67.9567,125.7,19.009,21.7,26.6555,70.72,48.4757,,26.1974,77.9263,73.4023,26.8123,107.1805,16.9453,26.8123,103.1907,86.0795,39.9568,31.3546,37.4618,48.2648,40.6869,53.9477,82.3493,69.4124,73.3921,110.0349,28.135,66.5647,86.9434,86.1637,89.271,35.4185,82.6463,75.7877,71.6882,77.7984,48.4757,64.8002
2013-08-06,131.7747,71.4355,62.9269,88.9157,78.4903,60.4919,37.4603,83.0745,67.4045,123.97,18.83,,26.4619,70.24,48.3063,,26.2144,77.9171,73.3654,26.7566,107.1628,16.3607,26.7566,103.224,86.332,39.8376,30.9657,37.228,47.8795,40.7215,54.2587,82.8552,69.3865,74.1326,110.7375,28.4969,66.2073,86.3669,85.9959,88.7533,35.1181,82.1873,75.0473,71.2108,76.9662,48.3063,64.3858
2013-08-07,131.3172,71.1674,62.8193,88.312,77.7696,60.2356,37.1872,82.285,67.1038,124.15,18.83,,26.2876,68.84,48.1792,,26.223,77.9356,73.2548,26.7646,107.2692,16.4291,26.7646,103.7798,86.9753,39.8985,30.6085,36.6476,47.2288,39.9591,54.4337,83.0109,69.3865,74.6783,110.9717,28.8196,66.2923,85.6839,85.5962,88.3783,34.8927,82.1078,74.7976,71.0126,76.9326,48.1792,64.6721
2013-08-08,131.7747,71.5165,62.9875,88.935,78.2844,60.6077,37.3394,82.7361,67.4109,126.86,19.6,22.2501,26.1714,70.12,48.2004,,26.2144,77.9356,73.3839,26.7805,107.3135,16.4105,26.7805,103.9729,87.2115,40.3249,31.2911,37.2713,47.6655,39.7685,54.2393,82.5439,69.4124,74.4055,110.7375,28.2328,66.0439,86.3314,85.9559,88.8959,34.9715,82.152,75.1936,71.3459,78.0507,48.2004,64.8529
2013-08-09,131.4019,71.1628,62.8728,88.907,78.3312,60.6077,37.3126,82.8479,67.2659,126.86,19.76,22.5499,26.4135,68.36,48.6239,,26.2144,77.9171,73.4207,26.8203,107.3756,16.4167,26.8203,104.1393,87.3499,40.4239,31.4181,37.4358,47.4,39.7858,54.4337,82.8552,69.4211,74.4055,111.2059,28.1839,65.7306,86.1185,85.541,88.6483,34.9261,81.9226,74.987,71.0756,78.4038,48.6239,64.4687
2013-08-12,131.2324,71.1942,62.6316,88.8632,78.2844,60.525,37.4871,83.1684,67.5388,129.13,20.62,22.5401,26.648,69.92,48.278,,26.2401,77.9171,73.3839,26.7725,107.2958,16.4167,26.7725,103.8231,86.7554,40.2183,31.6721,38.4839,47.5798,39.7512,54.492,82.6995,69.3952,73.9767,111.2839,27.9492,65.8275,86.1008,85.4123,88.2057,34.7675,81.7106,75.1162,71.5621,78.4627,48.278,64.1673
