Date,KOSPI Index,M1WO Index,M1EF Index,KBPMABIN Index,BTSYTRUH Index,JPEIGLBL Index,LGCPTRUU Index,RUGL Index,BCOMTR Index,BCOMGCTR Index
2011-05-31,2142.47,3343.11,447.73,186.05,485.004,543.26,207.6962,3160.49,334.7639,395.2129
2011-06-01,2141.34,3297.33,447.29,185.87,485.7731,544.26,208.4717,3119.94,331.6351,396.8594
2011-06-02,2114.2,3272.47,444.54,186.21,485.9589,544.56,207.7457,3088.66,333.0242,394.1598
2011-06-03,2113.47,3259.58,443.29,186.27,486.1718,545.27,208.3958,3092.17,333.4459,396.655
2011-06-06,,3234.21,440.82,,486.0455,545.22,208.5244,3068.51,331.0534,397.8914
2011-06-07,2099.71,3239.53,442.36,186.27,485.1941,546.0,208.8281,3082.95,332.1907,397.0689
2011-06-08,2083.35,3214.97,439.66,186.5,485.7589,546.31,208.8451,3064.65,334.143,395.7064
2011-06-09,2071.42,3230.01,438.47,186.33,485.7264,546.64,208.1109,3050.3,335.1753,396.7356
2011-06-10,2046.67,3182.27,433.37,186.1,486.2399,546.68,207.6989,3002.75,332.8766,393.2643
2011-06-13,2048.74,3182.78,431.78,186.11,486.0394,545.99,207.5518,3003.23,329.0251,389.7683
2011-06-14,2076.83,3225.71,435.55,186.04,485.0599,546.63,207.364,3042.99,330.1718,392.0319
2011-06-15,2086.53,3171.78,433.02,186.08,485.7824,545.77,207.3003,3011.06,324.2768,392.4954
2011-06-16,2046.63,3146.28,425.38,186.4,486.6112,545.01,206.5608,2990.02,321.405,393.4475
2011-06-17,2031.93,3163.62,424.01,186.22,486.2129,544.54,207.1703,3001.65,319.6117,395.814
2011-06-20,2019.65,3166.26,421.98,186.32,486.0884,544.89,207.1056,3006.76,319.4467,396.5614
2011-06-21,2048.17,3216.36,427.63,186.27,485.9373,545.89,207.3698,3037.53,321.8427,397.6934
2011-06-22,2063.9,3210.96,428.93,186.33,485.9565,546.64,207.7188,3035.25,320.7685,399.494
2011-06-23,2055.86,3166.62,424.72,186.35,486.9061,545.36,206.75,2987.78,313.5174,391.0334
2011-06-24,2090.81,3151.61,428.71,186.21,487.0542,545.24,206.8621,3001.3,312.5983,385.9931
2011-06-27,2070.29,3167.24,427.53,186.3,486.42,546.36,206.5859,3002.66,310.8962,384.837
