Date,AAPL US Equity,MSFT US Equity,GOOGL US Equity,GOOG US Equity,AMZN US Equity,TSLA US Equity,FB US Equity,BRK/B US Equity,NVDA US Equity,V US Equity,UNH US Equity,JNJ US Equity,JPM US Equity,PG US Equity,WMT US Equity,HD US Equity,BAC US Equity,MA US Equity,XOM US Equity,PFE US Equity,KO US Equity,DIS US Equity,CVX US Equity,PEP US Equity,CSCO US Equity,ADBE US Equity,ABBV US Equity,LLY US Equity,TMO US Equity,CMCSA US Equity,NKE US Equity,VZ US Equity,ABT US Equity,ACN US Equity,AVGO US Equity,ORCL US Equity,CRM US Equity,COST US Equity,INTC US Equity,WFC US Equity,MRK US Equity,DHR US Equity,PYPL US Equity,MCD US Equity,T US Equity,QCOM US Equity,NFLX US Equity,UPS US Equity,MS US Equity,SCHW US Equity
2012-11-26,18.189,22.7455,330.896,,243.62,6.454,25.94,88.29,2.7975,34.535,46.168,53.664,31.5282,52.5348,56.3397,52.45,8.5014,45.391,59.6649,16.6279,27.6773,43.8987,71.1827,53.164,14.2054,33.295,,37.9223,60.072,15.3458,21.9418,28.302,25.7163,56.819,26.8025,26.8199,40.055,74.237,15.2175,25.1614,31.0972,38.1614,,66.072,14.8221,47.6168,11.723,55.352,13.7557,11.8734
2012-11-27,18.042,22.4922,335.68,,243.402,6.43,26.15,88.08,2.8091,34.4248,45.357,53.4465,31.4279,52.1643,56.0093,52.271,8.3501,45.246,58.8099,16.4683,27.7218,43.5137,70.0912,53.248,14.239,33.18,,37.7245,59.947,15.2034,21.7957,28.0928,25.5964,56.5503,26.8655,27.0463,39.0925,74.43,15.252,24.9549,30.8721,37.8137,,65.827,14.6694,47.4415,11.869,55.032,13.7723,11.7651
2012-11-28,17.985,22.7247,342.167,,247.11,6.646,26.36,88.27,2.8334,34.5444,45.495,53.8193,31.4896,52.5046,56.8636,52.817,8.4366,45.531,59.3148,16.7535,28.0164,44.051,71.5828,53.43,14.1416,33.88,,38.0094,60.487,15.3584,22.2721,28.4719,25.8002,57.1128,27.2119,27.5476,39.465,79.111,15.3744,25.0926,31.3786,38.2411,,66.287,14.6694,47.7387,11.747,55.451,13.9793,11.8644
2012-11-29,18.183,22.3842,346.281,,251.27,6.738,27.32,87.97,2.7825,34.7531,46.884,53.765,31.7904,52.5499,57.0811,52.336,8.4971,45.976,59.3283,16.8758,28.3222,44.5165,71.7251,53.4,14.2768,34.09,,38.4366,61.219,15.4422,22.2361,28.766,26.0039,57.3899,27.6371,27.5822,39.6875,78.571,14.9459,25.3603,31.456,38.8494,,66.859,14.8047,48.2721,11.626,56.1,13.9628,11.8192
2012-11-30,18.058,22.106,349.524,,252.05,6.764,28.0,88.08,2.7663,35.1119,46.91,54.1611,31.6824,52.7995,58.0402,53.012,8.523,46.209,59.3418,16.9912,28.2849,44.4628,71.6573,53.324,14.2017,34.61,,38.8006,61.258,15.5825,21.9013,28.8379,25.972,57.0289,27.6371,27.8724,39.4175,80.145,14.9727,25.2456,31.1676,39.0884,,67.284,14.892,48.4778,11.673,55.757,13.971,11.8283
2012-12-03,18.086,21.9518,347.962,,250.329,6.924,27.04,87.75,2.7155,34.861,46.478,54.099,31.4742,52.6104,57.4922,52.939,8.4712,46.017,58.9849,17.0388,27.8821,44.1315,70.959,53.066,14.2919,34.7,,38.7056,61.219,15.5343,21.9193,28.8249,25.6883,56.9533,27.4088,27.9894,39.2625,80.661,14.9535,25.0467,31.267,38.6901,,67.299,14.8963,48.2873,10.857,55.116,13.6398,11.7289
2012-12-04,17.766,21.9025,345.85,,252.488,6.78,27.46,87.27,2.7952,34.6147,46.177,54.2621,31.2891,52.4063,58.1207,52.336,8.5662,45.712,58.7022,17.0897,27.7106,44.1405,70.4844,53.058,14.3969,35.3,,38.943,61.316,15.5846,21.944,28.5438,25.7282,57.6082,27.4954,28.05,39.235,80.515,15.2821,25.0391,31.2379,38.567,,67.408,14.8003,48.3597,12.378,55.703,13.7557,11.6296
2012-12-05,16.623,22.1516,344.244,,253.96,6.742,27.71,87.62,2.7641,34.725,46.435,54.3475,31.775,52.4819,58.062,52.157,9.0508,45.199,59.0657,17.4123,27.8299,44.4001,71.3048,53.355,14.427,35.4,,39.2278,61.653,15.4505,21.9463,28.8249,25.7882,58.4395,27.1885,27.7208,39.2175,81.709,15.1908,25.2226,31.2309,38.6394,,67.23,14.796,48.6772,11.91,56.054,14.0621,11.6748
2012-12-06,16.884,22.1973,345.9,,253.37,6.78,26.97,87.49,2.7686,34.8211,46.271,54.4096,31.9832,52.8902,58.0134,52.418,9.0465,45.472,59.2475,17.3919,27.8821,44.6001,72.1726,53.592,14.6297,35.14,,39.0854,62.048,15.5599,22.208,29.0536,25.8042,58.6074,27.6528,27.7468,39.3525,81.314,15.428,25.345,31.3153,38.4366,,68.096,14.6825,49.1119,12.31,55.619,13.8634,11.7921
2012-12-07,16.452,21.9731,342.437,,253.268,6.834,27.485,87.33,2.7629,34.8399,46.646,54.7203,32.8239,53.1473,58.5806,52.507,9.2022,45.019,59.6515,17.3579,28.1283,44.7638,72.5387,53.776,14.5208,35.48,,39.2674,61.962,15.5134,22.2464,29.0275,26.1838,58.3387,26.9678,27.6515,39.175,81.388,15.4242,25.4138,31.3997,38.748,,68.397,14.7196,48.8531,12.283,55.802,14.0539,12.1127
