Date,AAPL US Equity,MSFT US Equity,GOOGL US Equity,GOOG US Equity,AMZN US Equity,TSLA US Equity,FB US Equity,BRK/B US Equity,NVDA US Equity,V US Equity,UNH US Equity,JNJ US Equity,JPM US Equity,PG US Equity,WMT US Equity,HD US Equity,BAC US Equity,MA US Equity,XOM US Equity,PFE US Equity,KO US Equity,DIS US Equity,CVX US Equity,PEP US Equity,CSCO US Equity,ADBE US Equity,ABBV US Equity,LLY US Equity,TMO US Equity,CMCSA US Equity,NKE US Equity,VZ US Equity,ABT US Equity,ACN US Equity,AVGO US Equity,ORCL US Equity,CRM US Equity,COST US Equity,INTC US Equity,WFC US Equity,MRK US Equity,DHR US Equity,PYPL US Equity,MCD US Equity,T US Equity,QCOM US Equity,NFLX US Equity,UPS US Equity,MS US Equity,SCHW US Equity,CASH
2018-10-10,-0.047440686,-0.055870431,-0.047395711,-0.051902605,-0.063498242,-0.022784237,-0.042168689,-0.04881251,-0.077695217,-0.048888083,-0.026371973,-0.01061612,-0.02699352,-0.009288428,-0.013691009,-0.010527676,-0.024991209,-0.064334247,-0.02327156,-0.021339285,-0.015421848,-0.035085242,-0.033841418,-0.007241087,-0.039955306,-0.066071539,-0.015879854,-0.018445051,-0.039569199,-0.033280357,-0.070574885,-0.01207295,-0.03381053,-0.042724691,-0.054028614,-0.030540738,-0.074709033,-0.014014205,-0.03831703,-0.020763268,-0.026473788,-0.027450363,-0.058931379,-0.008634312,-0.019595663,-0.049696084,-0.087555891,-0.010832805,-0.033930404,-0.050718469,0
2018-10-11,-0.008860416,-0.002357593,-0.001301022,-0.00175882,-0.020659168,-0.01826768,0.012929659,-0.03782516,-0.043931347,-0.013296223,-0.022914379,-0.028650414,-0.030421781,-0.032065173,-0.01940136,-0.020660651,-0.030558747,-0.01114531,-0.035159023,-0.038940226,-0.023030778,-0.015267931,-0.034605054,-0.021474384,-0.033650464,0.002854147,-0.025902308,-0.049095279,-0.020010735,-0.01795411,-0.005753838,-0.018578302,-0.007865332,-0.036134009,-0.012719362,-0.013167562,0.010323138,0.003480307,-0.012805913,-0.019061759,-0.029969652,-0.025061241,0.005946499,-0.032599287,-0.034059292,-0.037250164,-0.0148073,-0.025082221,-0.025650213,-0.029882822,0
2018-10-12,0.035091986,0.033973874,0.026954347,0.028100872,0.039486653,0.02563691,0.002539973,0.007815763,0.047385129,0.046248003,0.009637616,0.000224483,-0.010972455,0.002406394,0.009430858,0.014285917,0.003517913,0.048715095,-0.00270078,0.02240512,0.000896062,0.013050163,-0.00558809,0.002093691,0.035403326,0.042184074,0.010529275,0.023537153,0.023257887,0.027823108,0.01861524,0.00747279,0.017901123,0.021811775,0.017538731,0.012745786,0.05246325,0.022860292,0.01458967,0.012940659,0.020843386,0.02062125,0.040410843,0.005205869,0.015624501,0,0.055898061,0.016388259,-0.001382412,0.018117253,0
2018-10-15,-0.021611565,-0.018143237,-0.016284807,-0.016192296,-0.015585346,0.003125183,-0.001432012,-0.008595833,-0.046322923,-0.020413168,0.002458788,0.00059701,-0.00571962,0.013442694,-0.010495957,-0.006773582,-0.019154763,-0.019279502,-0.006903944,-0.015190081,0.005133098,0.007343839,-0.007072479,0.003315674,-0.023015524,-0.044617982,-0.016789918,0.001266345,-0.014408567,0.013484292,-0.012194271,-0.002422428,-0.009129618,-0.009579287,-0.00206274,-0.001484358,-0.03318743,-0.010809043,-0.007828761,0.021452789,-0.005024934,-0.01353698,-0.023039545,-0.000915544,0.003408182,-0.001869195,-0.019117858,0.001122039,0.00092182,-0.028352033,0
2018-10-16,0.021797945,0.031109695,0.027413683,0.026231101,0.032961087,0.063432802,0.033688745,0.023141369,0.043439862,0.032336491,0.046253994,0.019297651,0.021213984,0.010922839,0.020988362,0.012525576,0.021614509,0.036563046,0.004690013,0.01860931,0.012832912,0.023952853,0.004862234,0.016528787,0.025418888,0.09094255,0.030153157,0.003699935,0.030440862,0.025603433,0.032665536,0.001862926,0.032227079,0.020557204,0.02485308,0.023282951,0.03794643,0.014022603,0.031172736,0.009161022,0.025022165,0.029561468,0.042834729,0.002439592,0.000925144,0.029934846,0.039061372,0.014662001,0.055264611,0.01230888,0
2018-10-17,-0.004332973,-0.002615598,-0.004856977,-0.004997842,0.006446353,-0.01754335,0.004022633,0.003282981,-0.011332496,0.00499667,-0.019524003,0.021013574,0.011077636,0.010437517,0.007798233,-0.04441452,0.012882699,-0.001928631,0.003688672,0.014464692,0.008100757,0.008057624,-0.001873798,0.008525796,0.002614842,-0.006774729,0.00390975,0.022794813,-0.002129149,0.011049672,-0.012990874,0.004830018,-0.010199566,-0.005272502,-0.004837129,-0.007700908,-0.002920702,0.003550327,-0.001089937,0.013494312,0.008389268,-0.000857068,-0.006471709,0.016319897,0.005543234,-0.00030101,0.051480921,0.004504639,0.026845981,-0.003946879,0
2018-10-18,-0.023655286,-0.020164223,-0.026674239,-0.025159473,-0.033874632,-0.02938478,-0.028633374,-0.008682846,-0.014629184,-0.022432879,-0.001832406,0.000286978,-0.015969249,-0.011188406,-0.004047447,-0.025876372,-0.022746707,-0.018297289,0.004285325,-0.012871406,-0.005465095,-0.008143666,0.001533095,-0.003510266,-0.010503083,-0.033620572,-0.026022009,-0.002467951,-0.021276798,-0.012718003,-0.011572385,0.012707464,-0.030211231,-0.017137723,-0.039343654,-0.010080105,-0.028775489,0.00039319,-0.020252322,-0.025289155,0.005414633,-0.036085273,-0.033131164,0.000240991,-0.002154913,-0.014476775,-0.050586402,-0.028188071,-0.024888617,-0.028289124,0
2018-10-19,0.0151214,0.001473225,0.006599845,0.007773234,-0.003785279,-0.014926505,-0.00563163,0.005399865,-0.04421423,0.005655209,-0.005676451,-0.003230695,-0.001666392,0.08432731,0.010138977,-0.003274589,0.002474184,-0.002755389,0.00146478,0.011298512,0.015662498,0.023141442,0.005687284,0.021631839,-0.002642487,-0.021479287,-0.021700998,-0.012343147,-0.011207826,0.001113524,-0.018557216,0.00456379,-0.008104307,0.013228551,0.001139732,0.004422137,-0.016588811,0.004756893,-0.021805219,-0.003962733,0.001938037,-0.008430775,0.090039827,0.004068534,0.011324199,0.003218026,-0.041337688,0.01522263,0.008436337,0.002779487,0
2018-10-22,0.006078932,0.0088871,0.005585271,0.004277361,0.014223518,0.003647187,0.004727529,-0.017499605,0.008905103,0.003989934,-0.01179234,-0.002664524,-0.014468067,-0.008049733,-0.000102919,-0.006137758,-0.03375353,0.00706858,-0.010053873,-0.002925734,-0.007801801,-0.005312637,-0.007903181,-0.008109037,0.009220738,0.024311302,-0.042970149,0.000982051,-0.0060912,-0.006414509,0.009254057,0.001456618,0.01366418,0.007991546,0.00148827,0.007327047,0.017358607,-0.002659411,0.022696553,-0.023722691,0.003036306,-0.018397727,0.007637661,-0.005150192,-0.00610692,0.011559759,-0.009453265,-0.007323238,-0.02862597,-0.026615185,0
2018-10-23,0.009393598,-0.014054355,0.003180196,0.002294942,-0.011579668,0.119727026,-0.002522885,-0.01067808,-0.044935519,-0.010866447,0.010133275,0.001800556,-0.010491287,0.006444962,0.006771135,-0.001228434,-0.013238379,-0.01017372,-0.016275787,-0.006103385,0.008448207,-0.003557214,-0.033045675,0.00665325,-0.007459118,0.002784298,-0.01566805,-0.014746834,-0.010867085,-0.002799577,-0.02091062,0.039757663,0.000730564,-0.009192658,0.001878955,0.001044244,-0.016149288,-0.001353158,-0.01139683,-0.001745286,-0.006498913,-0.011634203,0.024741146,0.061222324,0.010657693,0.003924785,0.010925112,-0.012173669,-0.013165709,-0.023520841,0
2018-10-24,-0.034915416,-0.054951536,-0.053225455,-0.049192985,-0.060900286,-0.019360759,-0.055601312,-0.020753079,-0.103071518,-0.03555866,-0.03277655,-0.010564265,-0.018798122,0.026046314,-0.002457623,-0.008776597,-0.031197582,-0.033865806,-0.028199545,-0.03742674,0.007949339,-0.054401916,-0.028533246,0.02537608,-0.030171621,-0.054358546,-0.043734293,-0.037566052,-0.012480314,-0.043864873,-0.016911584,0.003664426,-0.024058734,-0.031942604,-0.046193653,-0.025965499,-0.054043524,-0.022054495,-0.04786955,-0.026929834,-0.021873698,-0.016664392,-0.052514116,0.001127721,-0.083987463,-0.058310482,-0.09875891,-0.056821944,-0.023406042,-0.04523833,0
2018-10-25,0.021667959,0.056800257,0.043020273,0.04180865,0.068487195,0.08743301,0.033068099,0.010801768,0.041406193,0.045571357,0.030432463,0.007248226,0.015085508,-0.005155518,0.016468909,0.011796325,0.015157208,0.042568941,0.008851084,0.021655981,-0.004718754,0.022590141,0.012353908,-0.000980027,0.031271974,0.058955527,0.028797744,0.014658479,0.042733706,0.049180679,0.013496661,-0.01739217,0.010846519,0.024513929,0.016011082,0.025338642,0.055038337,0.011727957,0.043590387,0.03273065,-0.00825607,0.025555496,0.033957714,-0.011564099,-0.012595456,0.00921883,0.035923824,-0.001018325,0.024080563,0.014227257,0
2018-10-26,-0.016044089,-0.01244986,-0.018141253,-0.022243238,-0.081423533,0.049688119,-0.03766644,-0.017429962,-0.047038937,-0.01998192,-0.023200611,-0.010891735,-0.013827616,-0.012891327,-0.002422312,-0.038944836,-0.007549887,-0.033412607,-0.01001027,-0.018834348,-0.012766326,-0.008533044,-0.000448802,-0.021496613,-0.027196941,-0.028555036,-0.011568022,-0.014000332,-0.000823868,-0.016882512,-0.01419035,-0.016438031,-0.010100296,-0.015865532,-0.041761791,-0.013432359,-0.038221213,-0.03693626,0.0306701,-0.011830481,0.006269916,-0.011768702,-0.030593539,-0.011304484,-0.030136465,-0.01145637,-0.042572121,-0.023554266,-0.013104549,0.000231157,0
