Date,DBE US Equity,IAU US Equity,SLV US Equity,AIA US Equity,VPL US Equity,VGK US Equity,VWO US Equity,VXUS US Equity,RWO US Equity,VOO US Equity,VO US Equity,VB US Equity,SCHH US Equity,EMLC US Equity,AGG US Equity
2010-06-16,25.6561,24.082,18.08,40.0856,56.1416,52.6884,44.9216,,36.5079,,69.9542,67.2487,,,140.3865
2010-06-17,25.8131,24.392,18.33,39.8673,56.1193,53.0783,44.7643,,36.6724,,69.9629,67.2162,,,140.7204
2010-06-18,25.7085,24.584,18.75,40.1064,56.1416,52.8955,45.0228,,36.4735,,69.8455,67.2748,,,140.4951
2010-06-21,25.5198,24.096,18.33,40.768,56.4984,52.6641,45.8545,,36.3132,,69.4756,66.6296,,,140.7998
2010-06-22,25.3626,24.304,18.42,40.2017,55.7179,52.0428,44.9891,,35.6055,,67.9742,65.2718,,,140.9456
2010-06-23,24.8281,24.212,18.18,40.3171,55.6733,52.591,45.1914,,35.9151,,67.8654,65.0654,,,141.3033
2010-06-24,24.8281,24.28,18.26,40.0549,55.06,51.4824,44.517,,35.0526,,66.5925,63.9575,,,141.184
2010-06-25,25.5303,24.58,18.67,40.2747,55.5841,51.7017,45.0115,,35.6387,,67.2562,64.9242,,,141.3828
2010-06-28,25.1949,24.22,18.38,40.1913,54.837,51.3849,44.7755,,35.4993,,66.9515,64.6744,,,141.6477
2010-06-29,24.4403,24.28,18.13,38.6707,53.1533,49.5089,43.056,,34.2565,,64.3514,62.1869,,,142.0717
2010-06-30,24.2622,24.34,18.21,38.5031,53.0307,48.9607,42.6963,,33.8584,,63.84,61.4808,,,142.0849
2010-07-01,23.7381,23.42,17.44,38.4664,53.2648,49.9352,42.9548,,33.9911,,63.5572,61.155,,,142.0113
2010-07-02,23.5285,23.7,17.46,38.4821,53.3986,49.8256,43.0447,,33.6041,,63.0785,60.5032,,,141.812
2010-07-06,23.5285,23.32,17.4,39.1742,54.4467,50.7636,43.7865,,33.3608,,63.1003,59.8406,,,142.2505
2010-07-07,24.1364,23.56,17.65,39.7928,55.6565,52.5788,44.6407,,34.8868,,65.3958,61.9696,,,142.0645
2010-07-08,24.4298,23.48,17.61,39.9815,55.9186,53.1026,44.9329,,35.0747,,65.9942,62.8495,,,142.0379
2010-07-09,24.4718,23.68,17.73,40.6212,55.8628,53.2976,45.4948,,35.4065,,66.6937,63.7619,,,141.8253
2010-07-12,24.0525,23.5,17.62,40.4953,55.6844,52.9321,45.1464,,35.3512,,66.4402,63.1536,,,141.9847
2010-07-13,24.6395,23.68,17.82,40.8377,55.9855,54.4061,45.6859,,36.2026,,67.8219,65.0002,,,141.626
2010-07-14,24.5346,23.68,17.96,40.8604,56.4315,54.5158,45.6184,,36.1473,,67.6913,64.8916,,,142.1043
2010-07-15,24.629,23.66,17.95,40.5268,56.0301,55.1614,45.506,,36.0091,,67.6805,64.4788,,,142.3036
2010-07-16,24.367,23.356,17.49,39.4468,54.4913,53.2976,44.2473,,34.9201,,65.4774,62.339,,,142.7421
2010-07-19,24.4718,23.16,17.27,39.9604,54.759,53.797,44.8092,,35.5613,,65.9506,62.5236,,,142.6092
2010-07-20,24.6395,23.36,17.33,40.6569,55.6621,53.8214,45.6634,,36.0367,,66.9994,63.5881,,,142.5029
2010-07-21,24.367,23.18,17.31,40.0864,54.5471,52.7737,45.2588,,35.3954,,65.9506,62.5997,,,143.1274
2010-07-22,25.1196,23.38,17.71,40.9754,55.7402,55.0274,46.4389,,36.667,,67.7055,64.6581,,,142.9945
2010-07-23,25.0272,23.22,17.72,41.3981,56.4493,55.6122,46.8098,,37.1204,,68.5943,66.0539,,50.9,142.7421
2010-07-26,25.0587,23.12,17.78,41.827,56.7883,56.002,47.102,,37.7501,,69.7584,67.4551,,51.8,142.7155
2010-07-27,24.7233,22.74,17.3,41.7849,56.6879,56.2944,46.9896,,37.7617,,69.1492,67.0858,,51.86,142.6624
2010-07-28,24.6499,22.78,17.16,41.4495,56.8106,55.8071,46.7648,,37.6102,,68.4311,66.0539,,51.74,142.9281
2010-07-29,25.1111,22.86,17.24,41.7744,57.2232,55.9533,46.8997,,37.5738,,68.0395,65.8692,,51.58,143.061
2010-07-30,25.3207,23.12,17.58,41.6802,57.0336,55.9046,47.057,,37.6954,,68.2527,65.9018,,51.62,143.3001
2010-08-02,25.9076,23.14,17.96,42.7183,58.3828,58.073,48.2809,,38.9338,,69.7802,67.1618,,51.62,143.1055
2010-08-03,26.2428,23.22,18.02,42.6659,58.1152,58.0852,48.046,,38.58,,69.2008,66.5644,,51.8,143.1988
2010-08-04,26.222,23.36,17.93,42.6659,58.0483,58.0365,48.2034,,38.6906,,69.9434,67.1727,,51.8,142.9456
2010-08-05,26.0543,23.4,17.96,42.6134,57.9925,58.0243,48.0348,,38.5358,,69.704,66.5698,,51.84,143.1188
2010-08-06,25.7085,23.6,18.07,42.6659,58.3939,58.1827,47.9224,,38.4584,,69.4647,66.282,,52.0,143.3986
2010-08-09,25.7713,23.5,17.96,42.9699,58.6169,58.2679,48.1921,,38.8233,,70.0086,66.9555,,52.22,143.3986
2010-08-10,25.436,23.58,17.97,42.3093,57.9925,57.7563,47.5178,,38.3699,,69.258,65.8692,,52.18,143.6384
2010-08-11,24.7233,23.5,17.53,41.1369,55.8182,54.93,46.1129,,37.2188,,67.0277,63.4469,,51.52,143.7717
2010-08-12,24.105,23.78,17.69,41.0878,55.8182,54.8934,46.1579,,36.844,,66.6796,63.0993,,51.16,143.5452
2010-08-13,24.0578,23.78,17.74,41.1559,55.8182,54.6498,46.4276,,36.9877,,66.4512,62.4367,,51.36,143.8783
2010-08-16,23.8639,23.94,18.0,41.3761,56.3869,55.1371,46.7985,,37.0098,,66.4402,62.8495,,51.5,144.3579
2010-08-17,24.325,23.96,18.12,41.7012,56.8329,55.7827,47.3155,,37.8502,,67.6261,63.9031,,52.0,144.1847
2010-08-18,24.2098,24.06,18.02,41.6016,56.8775,55.7462,47.2368,,37.7949,,67.8001,64.1421,,52.08,144.0248
2010-08-19,23.8953,24.08,17.92,41.3656,56.5653,54.5158,46.8997,,37.1536,,66.6687,62.5888,,52.02,144.4911
