Date,DBE US Equity,IAU US Equity,SLV US Equity,AIA US Equity,VPL US Equity,VGK US Equity,VWO US Equity,VXUS US Equity,RWO US Equity,VOO US Equity,VO US Equity,VB US Equity,SCHH US Equity,EMLC US Equity,AGG US Equity
2019-07-31,13.968,27.04,15.21,57.1716,60.6955,49.8276,38.7252,48.0245,45.4459,261.0682,162.4689,152.704,21.1053,29.8473,105.1794
2019-08-01,13.3092,27.66,15.34,56.0702,60.4253,49.632,38.0204,47.6715,45.0831,258.8789,160.4159,150.3634,21.0118,29.5798,106.004
2019-08-02,13.3836,27.58,15.19,55.4476,59.9221,49.1753,37.6588,47.3185,45.4369,256.986,158.8329,148.8416,21.1287,29.5018,106.0418
2019-08-05,13.1331,27.96,15.33,53.0626,58.0116,48.1316,36.3327,46.0273,44.5479,249.4048,154.2184,144.4398,20.6893,29.2243,106.506
2019-08-06,12.9956,28.2,15.38,53.8097,58.5521,48.3926,36.9077,46.4175,44.8835,252.617,156.2235,146.1447,20.8763,29.3543,106.7901
2019-08-07,12.6518,28.6,15.97,54.2024,58.8131,48.5789,37.0653,46.6218,45.3189,252.7891,156.8375,146.5203,21.0679,29.363,106.7333
2019-08-08,12.7009,28.78,15.89,54.7388,59.4095,49.0169,37.5475,47.1606,45.7271,257.7221,160.0322,149.564,21.3764,29.6232,106.8375
2019-08-09,12.8482,28.66,15.89,54.0205,58.8131,48.7839,37.1766,46.7983,45.6908,255.9248,158.6794,147.7532,21.3671,29.5625,106.6954
2019-08-12,12.8973,28.92,15.98,53.2542,58.1701,48.4298,36.7593,46.3431,45.4369,252.9229,156.6552,145.692,21.2876,29.2329,107.0838
2019-08-13,13.3885,28.76,15.87,53.8576,58.8504,48.8212,37.1951,46.854,45.5094,256.8426,158.6219,147.3583,21.339,29.259,106.9322
2019-08-14,12.9956,28.96,16.08,52.3922,57.4059,47.4327,36.1658,45.535,44.8745,249.1084,153.9498,143.1491,21.0258,28.756,107.2638
2019-08-15,12.8384,29.16,16.13,52.986,57.8812,47.4234,36.3698,45.7022,45.2917,249.8924,154.18,143.0432,21.2222,28.9468,107.7563
2019-08-16,12.8679,28.98,16.02,53.8097,58.5335,48.0384,36.852,46.2781,45.7997,253.5539,156.5017,145.8172,21.4279,29.0768,107.6711
2019-08-19,13.025,28.64,15.79,54.4323,58.6733,48.3926,36.9726,46.5011,46.1172,256.6705,158.1614,147.1271,21.5868,28.7993,107.3869
2019-08-20,13.0938,28.84,16.05,54.4419,58.7572,48.1503,37.0375,46.4082,45.8723,254.682,157.1636,146.1254,21.3811,28.9381,107.6805
2019-08-21,13.1527,28.72,16.05,54.8059,58.9808,48.7187,37.3249,46.7612,45.963,256.747,158.5355,147.3101,21.4606,28.9381,107.6237
2019-08-22,13.0643,28.68,15.97,54.0683,58.6919,48.6255,36.9447,46.5847,46.1263,256.6514,158.4204,147.1945,21.5774,28.756,107.3395
2019-08-23,12.8777,29.24,16.35,53.2063,57.8998,48.0478,36.4162,45.953,45.6273,250.0645,154.4678,143.3322,21.2222,28.7386,107.7753
2019-08-26,12.8286,29.26,16.52,53.599,58.5242,48.3646,36.648,46.306,45.8904,252.8369,155.6862,144.5843,21.3718,28.6693,107.7279
2019-08-27,12.9956,29.52,17.03,53.7331,58.3751,48.3926,36.6665,46.2595,45.7816,251.8426,155.0051,142.9854,21.2923,28.5999,108.0689
2019-08-28,13.1724,29.46,17.17,53.7834,58.4776,48.3087,36.8056,46.3524,45.8813,253.5921,155.9932,144.305,21.3624,28.4698,108.0784
2019-08-29,13.251,29.24,17.07,54.1641,58.897,48.7839,37.2322,46.7333,46.0809,256.8904,158.0463,146.7033,21.5634,28.5392,108.0121
2019-08-30,12.9447,29.12,17.15,54.2024,59.1393,49.0076,37.464,46.9841,46.1988,256.7852,157.9887,146.6455,21.5821,28.5912,108.1068
2019-09-03,12.7795,29.58,17.89,53.9438,59.0274,48.8119,37.2693,46.7983,46.3167,255.3608,157.0773,144.7866,21.7597,28.557,108.0814
2019-09-04,13.2706,29.76,18.34,55.4859,59.7264,49.6226,37.8813,47.5043,46.861,258.095,158.8233,146.318,21.9234,28.9495,108.2713
2019-09-05,13.3001,29.06,17.41,56.0414,60.3414,49.8649,38.1688,47.8666,46.6796,261.5079,160.6653,148.7356,21.8252,28.967,107.8061
2019-09-06,13.4278,28.82,16.87,56.415,60.6024,50.0047,38.2894,48.0152,46.7431,261.6991,160.9244,148.3696,21.9093,29.0368,107.92
2019-09-09,13.6627,28.68,16.83,56.664,60.9099,50.0233,38.3914,48.0709,46.7975,261.7661,160.7996,149.0631,21.9561,29.0106,107.4643
2019-09-10,13.6242,28.44,16.85,56.7981,61.059,50.0793,38.3914,48.1545,46.5435,261.8234,160.9723,149.9204,21.8252,28.9234,106.8852
2019-09-11,13.4278,28.62,16.95,57.2866,61.5809,50.3495,38.6788,48.4239,46.5526,263.7068,162.1332,152.0586,21.8626,28.9408,106.9042
2019-09-12,13.2412,28.66,16.92,57.6889,61.9816,50.6757,38.92,48.7026,46.5435,264.4811,162.4881,152.1742,21.8719,29.185,106.7333
2019-09-13,13.2215,28.44,16.31,58.0337,62.4941,50.8341,39.124,48.9812,46.5345,264.4142,162.3634,152.0683,21.6663,29.0542,106.0972
2019-09-16,14.3315,28.68,16.74,57.2962,62.0748,50.3588,38.8087,48.5911,46.6342,263.5442,162.8806,152.6292,21.8532,28.9583,106.382
2019-09-17,13.86,28.72,16.86,57.2291,62.2612,50.5732,38.855,48.7397,46.9699,264.2613,163.4291,152.4264,22.0262,29.0455,106.5434
2019-09-18,13.7421,28.54,16.55,57.0559,62.0189,50.5452,38.6603,48.6468,46.8157,264.4238,163.1115,151.7985,21.9514,28.9234,106.6668
2019-09-19,13.8796,28.68,16.62,56.913,62.3264,50.7036,38.4192,48.7212,46.8973,264.3664,162.6977,151.3252,21.9467,29.028,106.8187
2019-09-20,13.8894,29.02,16.8,56.5108,62.168,50.5266,38.4841,48.6747,46.9608,262.9515,161.9951,150.9968,21.9187,29.1501,107.208
2019-09-23,13.8956,29.18,17.51,56.6449,62.168,50.3961,38.6232,48.619,46.9876,263.1332,162.2357,151.0354,21.942,29.1065,107.2554
2019-09-24,13.5653,29.32,17.44,56.2809,62.132,50.1163,38.1524,48.3577,46.887,260.9534,161.1001,149.1518,21.9327,29.0804,107.5498
2019-09-25,13.5358,28.78,16.71,56.2426,62.1787,49.8257,38.1899,48.3204,47.1157,262.55,161.9663,150.4076,22.0026,28.7751,107.1035
2019-09-26,13.5358,28.78,16.67,56.2905,62.2255,50.0788,38.1711,48.3671,47.4541,262.0327,161.6487,149.2678,22.2144,28.8449,107.2839
2019-09-27,13.4179,28.64,16.36,55.5721,61.4958,50.0788,37.6922,48.0774,47.3535,260.563,160.5515,148.099,22.1767,28.81,107.4168
2019-09-30,13.142,28.2,15.92,56.1564,61.7951,50.2569,37.8049,48.2643,47.4358,261.8502,161.3022,148.6495,22.1955,28.7838,107.4453
2019-10-01,13.084,28.34,16.15,55.9361,61.3835,49.7038,37.542,47.8252,47.1157,258.6995,159.079,146.1381,21.9697,28.7528,107.6407
2019-10-02,12.858,28.68,16.43,55.4955,60.6163,48.4664,37.3636,47.0778,46.8321,254.1369,156.4035,144.3221,21.8991,28.8843,107.7168
2019-10-03,12.8579,28.82,16.43,56.233,61.028,48.8226,37.8143,47.4421,47.2895,256.154,157.7412,145.2977,22.0967,29.1826,108.1355
2019-10-04,13.015,28.82,16.41,56.2138,61.5332,49.2163,37.9927,47.7598,47.7011,259.7081,159.5025,146.9012,22.2191,29.3668,108.3068
2019-10-07,13.0447,28.56,16.3,56.0223,61.2151,49.2163,37.7016,47.601,47.5456,258.5939,158.7999,146.3506,22.1861,29.1212,108.0118
2019-10-08,12.9366,28.82,16.61,55.9169,60.8034,48.6538,37.3824,47.1992,47.3535,254.5787,156.0377,143.9647,22.0544,29.0773,108.0499
2019-10-09,13.0152,28.84,16.6,56.1564,61.2993,49.0757,37.6641,47.5729,47.4633,256.9513,157.4621,144.9307,22.0967,29.2966,107.9928
2019-10-10,13.203,28.58,16.37,56.6832,61.5051,49.535,38.0679,47.928,47.4998,258.6995,158.3187,145.4619,22.1203,29.4106,107.6217
2019-10-11,13.4572,28.42,16.37,57.5739,62.1881,50.6037,38.5749,48.6941,47.7285,261.3987,160.4553,147.9734,22.1156,29.551,107.2696
2019-10-14,13.2902,28.52,16.49,57.4303,61.9635,50.4163,38.4904,48.4979,47.6828,261.1586,160.1088,147.3648,22.1391,29.4896,107.4504
2019-10-15,13.2411,28.36,16.27,58.0337,62.7494,51.0631,38.7533,49.0024,47.9389,263.6849,161.3503,148.7655,22.2002,29.4018,107.0983
2019-10-16,13.3099,28.5,16.26,58.1103,62.7588,51.1287,38.8566,49.1051,48.1035,263.2718,160.9461,148.4467,22.2285,29.4282,107.2886
2019-10-17,13.3694,28.54,16.4,58.3114,62.7401,51.3725,38.9787,49.2359,48.195,263.9826,161.6005,149.7314,22.2614,29.4808,107.2601
2019-10-18,13.3001,28.5,16.41,57.7368,62.4875,51.4287,38.8754,49.1425,48.4145,262.8972,161.4754,149.2098,22.3885,29.6562,107.3362
